companyId,securityId,companyName,stockSymbol
55,347,Asia Amalgamated Holdings Corporation,AAA
19,181,"Atok-Big Wedge Co., Inc.",AB
174,173,"AbaCore Capital Holdings, Inc.",ABA
176,350,Asiabest Group International Inc.,ABG
114,123,ABS-CBN Corporation,ABS
15,259,ABS-CBN Holdings Corporation,ABSP
57,180,Ayala Corporation,AC
48,370,Acesite (Phils.) Hotel Corporation,ACE
233,140,ACEN CORPORATION,ACEN
121,170,"Alsons Consolidated Resources, Inc.",ACR
16,183,"Aboitiz Equity Ventures, Inc.",AEV
212,179,"Alliance Global Group, Inc.",AGI
172,316,Arthaland Corporation,ALCO
612,536,"Anchor Land Holdings, Inc.",ALHI
180,293,"Ayala Land, Inc.",ALI
686,674,"AllDay Marts, Inc.",ALLDY
26,202,AyalaLand Logistics Holdings Corp.,ALLHC
701,696,Alternergy Holdings Corporation,ALTER
619,547,"AgriNurture, Inc.",ANI
14,169,A. Soriano Corporation,ANS
609,532,Aboitiz Power Corporation,AP
177,182,"APC Group, Inc.",APC
638,581,"Apollo Global Capital, Inc.",APL
52,171,Anglo Philippine Holdings Corporation,APO
678,654,"Altus Property Ventures, Inc.",APVI
178,318,"Apex Mining Co., Inc.",APX
33,321,Abra Mining and Industrial Corporation,AR
38,294,"Araneta Properties, Inc.",ARA
679,655,"AREIT, Inc.",AREIT
694,689,Raslag Corp.,ASLAG
34,320,Atlas Consolidated Mining and Development Corporation,AT
56,176,"ATN Holdings, Inc.",ATN
641,584,Asia United Bank Corporation,AUB
673,646,Axelum Resources Corp.,AXLM
697,692,Balai Ni Fruitas Inc.,BALAI
108,353,Benguet Corporation,BC
9,391,Berjaya Philippines Inc.,BCOR
260,468,"BDO Unibank, Inc.",BDO
21,252,Belle Corporation,BEL
62,358,"BHI Holdings, Inc.",BH
63,187,"Boulevard Holdings, Inc.",BHI
66,116,Bright Kindle Resources & Investments Inc.,BKR
49,233,Bloomberry Resorts Corporation,BLOOM
181,359,"Bogo-Medellin Milling Company, Inc.",BMM
692,687,Bank of Commerce,BNCOM
234,101,Bank of the Philippine Islands,BPI
13,234,"A Brown Company, Inc.",BRN
60,188,Basic Energy Corporation,BSC
669,636,Chelsea Logistics and Infrastructure Holdings Corp.,C
213,361,Concrete Aggregates Corporation,CA
183,366,"Central Azucarera de Tarlac, Inc.",CAT
184,104,China Banking Corporation,CBC
39,297,Cityland Development Corporation,CDC
624,560,"Cebu Air, Inc.",CEB
186,191,"Crown Equities, Inc.",CEI
223,291,Centro Escolar University,CEU
662,625,"Concreat Holdings Philippines, Inc.",CHP
648,591,Concepcion Industrial Corporation,CIC
668,635,"Cebu Landmasters, Inc.",CLI
652,597,"Century Pacific Food, Inc.",CNPF
680,656,"Converge Information and Communications Technology Solutions, Inc.",CNVRG
637,580,Coal Asia Holdings Incorporated,COAL
